"finland_beetle_1","finland_beetle_2","finland_beetle_3","finland_beetle_4","finland_beetle_5","finland_beetle_6","finland_beetle_7","finland_beetle_8","finland_beetle_9","finland_beetle_10","finland_beetle_11","finland_beetle_12","finland_beetle_13","finland_beetle_14","finland_beetle_15","finland_beetle_16","finland_beetle_17","finland_beetle_18","finland_beetle_19","finland_beetle_20","finland_beetle_21","finland_beetle_22","finland_beetle_23","finland_beetle_24","finland_beetle_25","finland_beetle_26","finland_beetle_27","finland_beetle_28","finland_beetle_29","finland_beetle_30","finland_beetle_31","finland_beetle_32","finland_beetle_33","finland_beetle_34","finland_beetle_35","finland_beetle_36","finland_beetle_37","finland_beetle_38","finland_beetle_39","finland_beetle_40","finland_beetle_41","finland_beetle_42","finland_beetle_43","finland_beetle_44","finland_beetle_45","finland_beetle_46","finland_beetle_47","finland_beetle_48","finland_beetle_49","finland_beetle_50","finland_beetle_51","finland_beetle_52","finland_beetle_53","finland_beetle_54","finland_beetle_55","finland_beetle_56","finland_beetle_57","finland_beetle_58","finland_beetle_59","finland_beetle_60","finland_beetle_61","finland_beetle_62","finland_beetle_63","finland_beetle_64","finland_beetle_65","finland_beetle_66","finland_beetle_67","finland_beetle_68","finland_beetle_69","finland_beetle_70","finland_beetle_71","finland_beetle_72","finland_beetle_73","finland_beetle_74","finland_beetle_75","finland_beetle_76","finland_beetle_77","finland_beetle_78","finland_beetle_79","finland_beetle_80","finland_beetle_81","finland_beetle_82","finland_beetle_83","finland_beetle_84","finland_beetle_85","finland_beetle_86","finland_beetle_87","finland_beetle_88","finland_beetle_89","finland_beetle_90","finland_beetle_91","finland_beetle_92","finland_beetle_93","finland_beetle_94","finland_beetle_95","finland_beetle_96","finland_beetle_97","finland_beetle_98","finland_beetle_99","finland_beetle_100","finland_beetle_101","finland_beetle_102","finland_beetle_103","finland_beetle_104","finland_beetle_105","finland_beetle_106","finland_beetle_107","finland_beetle_108","finland_beetle_109","finland_beetle_110","finland_beetle_111","finland_beetle_112","finland_beetle_113","finland_beetle_114","finland_beetle_115","finland_beetle_116","finland_beetle_117","finland_beetle_118","finland_beetle_119","finland_beetle_120","finland_beetle_121","finland_beetle_122","finland_beetle_123","finland_beetle_124","finland_beetle_125","finland_beetle_126","finland_beetle_127","finland_beetle_128","finland_beetle_129","finland_beetle_130","finland_beetle_131","finland_beetle_132","finland_beetle_133","finland_beetle_134","finland_beetle_135","finland_beetle_136","finland_beetle_137","finland_beetle_138","finland_beetle_139","finland_beetle_140","finland_beetle_141","finland_beetle_142","finland_beetle_143","finland_beetle_144","finland_beetle_145","finland_beetle_146","finland_beetle_147","finland_beetle_148","finland_beetle_149","finland_beetle_150","finland_beetle_151","finland_beetle_152","finland_beetle_153","finland_beetle_154","finland_beetle_155","finland_beetle_156","finland_beetle_157","finland_beetle_158","finland_beetle_159","finland_beetle_160","finland_beetle_161","finland_beetle_162","finland_beetle_163","finland_beetle_164","finland_beetle_165","finland_beetle_166","finland_beetle_167","finland_beetle_168","finland_beetle_169","finland_beetle_170","finland_beetle_171","finland_beetle_172","finland_beetle_173","finland_beetle_174","finland_beetle_175","finland_beetle_176","finland_beetle_177","finland_beetle_178","finland_beetle_179","finland_beetle_180","finland_beetle_181","finland_beetle_182","finland_beetle_183","finland_beetle_184","finland_beetle_185","finland_beetle_186","finland_beetle_187","finland_beetle_188","finland_beetle_189","finland_beetle_190","finland_beetle_191","finland_beetle_192","finland_beetle_193","finland_beetle_194","finland_beetle_195","finland_beetle_196","finland_beetle_197","finland_beetle_198","finland_beetle_199","finland_beetle_200","finland_beetle_201","finland_beetle_202","finland_beetle_203","finland_beetle_204","finland_beetle_205","finland_beetle_206","finland_beetle_207","finland_beetle_208","finland_beetle_209","finland_beetle_210","finland_beetle_211","finland_beetle_212","finland_beetle_213","finland_beetle_214","finland_beetle_215","finland_beetle_216","finland_beetle_217","finland_beetle_218","finland_beetle_219","finland_beetle_220","finland_beetle_221","finland_beetle_222","finland_beetle_223","finland_beetle_224","finland_beetle_225","finland_beetle_226","finland_beetle_227","finland_beetle_228","finland_beetle_229","finland_beetle_230","finland_beetle_231","finland_beetle_232","finland_beetle_233","finland_beetle_234","finland_beetle_235","finland_beetle_236","finland_beetle_237","finland_beetle_238","finland_beetle_239","finland_beetle_240","finland_beetle_241"
0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,0,0,0,0,1,1,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,1,1,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0
0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,1,0,0,1,0,0,0,0,1,1,1,0,0,1,0,1,1,0
0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,1,1,0,0,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,1,1,0,1,1,0,0,1,1,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,1,1,1,0,0,1,0,1,0,0,1,0,1,1,0,1,1,0,0,1,0,1,0,0,1,0,1,0,1,0,0,0,0,0,1,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,1,1,0,0,0,0,1,1,1,0,1,1,0,1,0,1,0,1,0,1,1,0
0,1,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0,1,1,0
0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,0,1,0,0,1,1,0,1,0,0,1,0
0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,1,0,1,1,0,0,1,1,1,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,1,1,0
0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0,1,1
0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,1,1,0,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,1,1,0,1,0,0,1,1,0,0,0,1,1,1,1,1,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,1,0,1,1,0,0,0,1,1,1,0,0,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,1,1,1,0,0,0,1,1,0,0,1,0,0,1,1,0,0,0,0,0,1,1,0
0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,1,0,0,0,1,0,0,1,0
0,1,0,1,0,1,1,1,0,0,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,1,1,0,0,1,0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,1,0,1,1,0,1,0,0,0,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,1,1,1,0,1,0,0,0,1,0,0,0,1,1,1,0,1,0,0,1,1,1,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,1,0,1,1,0,1,1,0,1,1,0,0,0,1,0,1,1,1
